year,month,state,utilityNumber,utilityName,dataStatus,residentialCapacityPhotovoltaic,commercialCapacityPhotovoltaic,industrialCapacityPhotovoltaic,transportationCapacityPhotovoltaic,totalCapacityPhotovoltaic,residentialCustomerPhotovoltaic,commercialCustomerPhotovoltaic,industrialCustomerPhotovoltaic,transportationCustomerPhotovoltaic,totalCustomerPhotovoltaic,residentialSoldBackPhotovoltaic,commercialSoldBackPhotovoltaic,industrialSoldBackPhotovoltaic,transportationSoldBackPhotovoltaic,totalSoldBackPhotovoltaic,residentialCapacityWind,commercialCapacityWind,industrialCapacityWind,transportationCapacityWind,totalCapacityWind,residentialCustomerWind,commercialCustomerWind,industrialCustomerWind,transportationCustomerWind,totalCustomerWind,residentialSoldBackWind,commercialSoldBackWind,industrialSoldBackWind,transportationSoldBackWind,totalSoldBackWind,residentialCapacityOther,commercialCapacityOther,industrialCapacityOther,transportationCapacityOther,totalCapacityOther,residentialCustomerOther,commercialCustomerOther,industrialCustomerOther,transportationCustomerOther,totalCustomerOther,residentialSoldBackOther,commercialSoldBackOther,industrialSoldBackOther,transportationSoldBackOther,totalSoldBackOther,residentialCapacityAll,commercialCapacityAll,industrialCapacityAll,transportationCapacityAll,totalCapacityAll,residentialCustomerAll,commercialCustomerAll,industrialCustomerAll,transportationCustomerAll,totalCustomerAll,residentialSoldBackAll,commercialSoldBackAll,industrialSoldBackAll,transportationSoldBackAll,totalSoldBackAll
2011,5,CO,9336,Intermountain Rural Elec Assn,Final,0.458,0,0,0,0.46,99,0,0,0,99,,,,,0,0.044,0,0,0,0.044,14,0,0,0,14,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,5,CO,6604,City of Fort Collins - (CO),Final,0.222,0.455,0.18,0,0.86,71,23,1,0,95,0,0,0,0,0,0.002,0,0,0,0.002,1,0,0,0,1,0,0,0,0,0,0,0,3.445,0,3.445,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5,CO,3989,City of Colorado Springs - (CO),Final,0.481,0.44,0,0,0.92,135,22,0,0,157,,,,,0,0.002,0.006,0,0,0.008,1,1,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,5,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.39,0.04,0,0,0.43,78,2,0,0,80,29.107,0.746,0,0,29.853,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,5,CO,16603,"San Luis Valley R E C, Inc",Final,0.137,0.029,0.03,0,0.2,37,3,2,0,42,,,,,0,0.003,0,0,0,0.003,2,0,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,5,CO,19499,"United Power, Inc",Final,0.29,0.153,0.021,0,0.46,62,6,1,0,69,,,,,0,0.016,0.153,0,0,0.169,6,2,0,0,8,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,5,CO,56146,Black Hills/Colorado Elec.Util,Final,2.67,4.541,0.1,0,7.31,457,152,1,0,610,0,0,0,0,0,0.04,0.958,1.8,0,2.798,7,14,1,0,22,0,0,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,4,CO,56146,Black Hills/Colorado Elec.Util,Final,2.639,4.28,0.1,0,7.02,451,149,1,0,601,,,,,0,0.04,0.958,1.8,0,2.798,7,14,1,0,22,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,4,CO,19499,"United Power, Inc",Final,0.29,0.153,0.021,0,0.46,62,6,1,0,69,0,0,0,0,0,0.016,0.012,0,0,0.028,6,2,0,0,8,0,0,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,4,CO,16603,"San Luis Valley R E C, Inc",Final,0.137,0.029,0.03,0,0.2,37,3,2,0,42,,,,,0,0.003,0,0,0,0.003,2,0,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,4,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.375,0.04,0,0,0.42,75,2,0,0,77,33.639,0.897,0,0,34.536,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,4,CO,9336,Intermountain Rural Elec Assn,Final,0.441,0,0,0,0.44,95,0,0,0,95,,,,,0,0.044,0,0,0,0.044,14,0,0,0,14,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,4,CO,6604,City of Fort Collins - (CO),Final,0.216,0.455,0.18,0,0.85,68,23,1,0,92,0,0,0,0,0,0.002,0,0,0,0.002,1,0,0,0,1,0,0,0,0,0,0,0,3.445,0,3.445,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,CO,3989,City of Colorado Springs - (CO),Final,0.454,0.44,0,0,0.89,128,22,0,0,150,0,0,0,0,0,0.002,0.006,0,0,0.008,1,1,0,0,2,0,0,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,6,CO,56146,Black Hills/Colorado Elec.Util,Final,2.675,4.541,0.1,0,7.32,458,152,1,0,611,,,,,0,0.04,0.958,1.8,0,2.798,7,14,1,0,22,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,6,CO,19499,"United Power, Inc",Final,0.29,0.153,0.021,0,0.46,62,6,1,0,69,,,,,0,0.016,0.012,0,0,0.028,6,2,0,0,8,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,6,CO,16603,"San Luis Valley R E C, Inc",Final,0.137,0.029,0.03,0,0.2,37,3,2,0,42,,,,,0,0.003,0,0,0,0.003,2,0,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,6,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.39,0.04,0,0,0.43,78,2,0,0,80,34.106,0.875,0,0,34.981,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,6,CO,9336,Intermountain Rural Elec Assn,Final,0.465,0,0,0,0.47,100,0,0,0,100,,,,,0,0.047,0,0,0,0.047,15,0,0,0,15,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,6,CO,6604,City of Fort Collins - (CO),Final,0.235,0.455,0.18,0,0.87,75,23,1,0,99,0,0,0,0,0,0.002,0,0,0,0.002,1,0,0,0,1,0,0,0,0,0,0,0,3.445,0,3.445,0,0,5,0,5,0,0,0,0,0,,,,,0,,,,,0,,,,,0
2011,6,CO,3989,City of Colorado Springs - (CO),Final,0.52,0.45,0,0,0.97,138,23,0,0,161,,,,,0,0.002,0.006,0,0,0.008,1,1,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,2,CO,56146,Black Hills/Colorado Elec.Util,Final,2.617,4.1,0.1,0,6.82,448,147,1,0,596,,,,,0,0.04,0.958,1.8,0,2.798,7,14,1,0,22,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,2,CO,19499,"United Power, Inc",Final,0.28,0.153,0.21,0,0.64,61,6,1,0,68,,,,,0,0.014,0.012,0,0,0.026,5,2,0,0,7,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,2,CO,16603,"San Luis Valley R E C, Inc",Final,0.131,0.007,0.027,0,0.17,35,3,2,0,40,0,0,0,0,0,0.003,0,0,0,0.003,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.037,0.02,0,,0.06,73,1,0,,74,18.691,0.256,0,,18.947,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,2,CO,9336,Intermountain Rural Elec Assn,Final,0.393,0,0,0,0.39,89,0,0,0,89,,,,,0,0.044,0,0,0,0.044,14,0,0,0,14,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,2,CO,6604,City of Fort Collins - (CO),Final,0.198,0.045,0.018,0,0.26,63,22,1,0,86,0,0,0,0,0,0.002,0,0,0,0.002,1,0,0,0,1,0,0,0,0,0,0,0,1.63,0,1.63,0,0,4,0,4,0,0,0,0,0,,,,,0,,,,,0,,,,,0
2011,2,CO,3989,City of Colorado Springs - (CO),Final,0.398,0.423,0,0,0.82,116,20,0,0,136,,,,,0,0.002,0.006,0,0,0.008,1,1,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,1,CO,19499,"United Power, Inc",Final,0.276,0.153,0.021,,0.45,60,6,1,,67,,,,,0,0.014,0.012,0,,0.026,5,2,0,,7,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,1,CO,56146,Black Hills/Colorado Elec.Util,Final,2.617,4.1,0.1,,6.82,448,147,1,,596,0,0,0,,0,,,1.8,,1.8,,,1,,1,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,1,CO,16603,"San Luis Valley R E C, Inc",Final,0.127,0.007,0.03,0,0.16,34,2,2,0,38,0,0,0,0,0,0.003,0,0,0,0.003,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,CO,15466,Public Service Co of Colorado,Final,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,1,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.365,0.02,0,,0.39,73,1,0,,74,20.737,0.284,0,,21.021,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,1,CO,9336,Intermountain Rural Elec Assn,Final,0.38,0,0,0,0.38,80,0,0,0,80,,,,,0,0.041,0,0,0,0.041,14,0,0,0,14,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,1,CO,6604,City of Fort Collins - (CO),Final,0.196,0.35,0.18,0,0.73,62,19,1,0,82,0,0,0,0,0,0.002,0,0,0,0.002,1,0,0,0,1,0,0,0,0,0,0,0,1.63,0,1.63,0,0,4,0,4,0,0,0,0,0,,,,,0,,,,,0,,,,,0
2011,1,CO,3989,City of Colorado Springs - (CO),Final,0.386,0.423,0,0,0.81,113,20,0,0,133,,,,,0,0.002,0,0,0,0.002,1,0,0,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,3,CO,56146,Black Hills/Colorado Elec.Util,Final,2.639,4.28,0.1,0,7.02,451,149,1,0,601,,,,,0,0.04,0.958,1.8,0,2.798,7,14,1,0,22,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,3,CO,19499,"United Power, Inc",Final,0.28,0.153,0.021,0,0.45,61,6,1,0,68,,,,,0,0.014,0.012,0,0,0.026,5,2,0,0,7,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
