Estimated Small Scale Solar PV Capacity and Generation- Current Month,,,,,,,,,,,
,,,,Capacity MW,,,,Generation MWh,,,
Year,Month,State,Data Status,Residential,Commercial,Industrial,Total,Residential,Commercial,Industrial,Total
2020,12,AK,Preliminary,6.658,1.642,0.043,8.343,0.000,0.000,0.000,0.000
2020,12,AL,Preliminary,NM,NM,0.611,NM,NM,NM,61.892,NM
2020,12,AR,Preliminary,28.489,14.462,15.862,58.813,"2,840.659","1,436.252","1,603.034","5,879.945"
2020,12,AZ,Preliminary,"1,203.137",442.813,6.630,"1,652.580","142,636.030","61,217.905",977.794,"204,831.729"
2020,12,CA,Preliminary,"6,780.575","2,382.689","1,405.848","10,569.112","651,422.412","253,401.830","144,794.099","1,049,618.341"
2020,12,CO,Preliminary,323.996,133.698,1.868,459.562,"31,184.643","14,582.656",217.663,"45,984.962"
2020,12,CT,Preliminary,366.542,210.785,28.285,605.612,"20,241.222","15,185.766","2,410.999","37,837.987"
2020,12,DC,Preliminary,46.390,36.203,.,82.593,"4,401.642","3,489.361",.,"7,891.004"
2020,12,DE,Preliminary,63.111,18.872,6.331,88.314,"4,753.271","1,768.537",595.535,"7,117.344"
2020,12,FL,Preliminary,658.596,104.639,9.279,772.514,"76,905.214","12,474.518","1,104.188","90,483.919"
2020,12,GA,Preliminary,NM,33.914,NM,NM,NM,"3,509.883",NM,NM
2020,12,HI,Preliminary,452.751,272.089,2.231,727.071,"53,313.784","33,707.686",283.884,"87,305.354"
2020,12,IA,Preliminary,54.035,87.741,5.488,147.264,"3,802.952","6,197.532",379.558,"10,380.042"
2020,12,ID,Preliminary,50.141,5.079,5.751,60.971,"3,210.892",320.771,375.951,"3,907.614"
2020,12,IL,Preliminary,202.240,311.419,1.217,514.876,"11,514.647","21,109.609",88.007,"32,712.263"
2020,12,IN,Preliminary,58.823,63.291,4.584,126.698,"3,967.619","4,127.755",282.195,"8,377.569"
2020,12,KS,Preliminary,19.904,11.849,.,31.753,"1,999.447","1,183.145",.,"3,182.592"
2020,12,KY,Preliminary,18.923,15.494,1.018,35.435,"1,467.424","1,215.559",79.430,"2,762.412"
2020,12,LA,Preliminary,145.446,10.601,0.124,156.171,"15,051.415","1,091.673",12.779,"16,155.868"
2020,12,MA,Preliminary,738.643,955.138,69.817,"1,763.598","38,221.573","75,026.867","5,562.661","118,811.102"
2020,12,MD,Preliminary,629.060,178.778,17.558,825.396,"34,943.853","14,893.693","1,565.930","51,403.476"
2020,12,ME,Preliminary,42.379,25.414,0.026,67.819,"3,384.065","1,810.158",2.064,"5,196.287"
2020,12,MI,Preliminary,70.421,53.498,2.932,126.851,"4,022.276","2,917.337",125.529,"7,065.142"
2020,12,MN,Preliminary,61.679,23.565,12.776,98.020,"3,972.879","1,530.601",801.710,"6,305.189"
2020,12,MO,Preliminary,130.746,99.974,4.755,235.475,"11,828.706","8,877.680",419.779,"21,126.165"
2020,12,MS,Preliminary,4.384,4.433,NM,9.061,441.874,446.047,NM,912.587
2020,12,MT,Preliminary,17.926,7.279,.,25.205,"1,188.356",481.786,.,"1,670.142"
2020,12,NC,Preliminary,149.432,79.943,8.694,238.069,"15,813.602","8,408.700",927.619,"25,149.921"
2020,12,ND,Preliminary,0.322,0.328,.,0.650,16.991,17.918,.,34.910
2020,12,NE,Preliminary,7.645,4.622,0.603,12.870,696.798,414.361,53.692,"1,164.851"
2020,12,NH,Preliminary,73.542,41.399,6.350,121.291,"5,014.064","3,124.007",497.880,"8,635.952"
2020,12,NJ,Preliminary,935.501,800.732,129.634,"1,865.867","58,881.989","69,782.223","11,618.845","140,283.056"
2020,12,NM,Preliminary,152.824,55.902,0.601,209.327,"20,863.375","7,867.561",86.034,"28,816.969"
2020,12,NV,Preliminary,438.152,59.733,19.386,517.271,"47,935.663","7,170.700","2,642.595","57,748.958"
2020,12,NY,Preliminary,921.649,877.890,11.764,"1,811.303","54,447.571","60,551.597",794.869,"115,794.037"
2020,12,OH,Preliminary,79.564,95.958,19.124,194.646,"4,316.060","5,609.944","1,065.579","10,991.583"
2020,12,OK,Preliminary,16.362,3.891,0.489,20.742,"1,862.287",439.239,55.353,"2,356.880"
2020,12,OR,Preliminary,112.878,72.538,11.121,196.537,"5,082.456","3,348.495",538.845,"8,969.796"
